class,tau,n_samples,score_mean,score_std
malignant,1.0,64,0.2291666666666667,0.1758412320500766
malignant,1.5,64,0.10885416666666667,0.1260018446045533
malignant,2.0,64,0.05468749999999999,0.08904726965291462
malignant,2.5,64,0.027604166666666666,0.05450365924896949
malignant,3.0,64,0.0140625,0.03525930112711003
benign,1.0,102,0.20065359477124184,0.18023105432914152
benign,1.5,102,0.08856209150326798,0.1385023456097999
benign,2.0,102,0.04738562091503268,0.10156040460990352
benign,2.5,102,0.02973856209150327,0.08309205105601224
benign,3.0,102,0.01633986928104575,0.056349573796838144
